case,entries,time(s),memory(kb)
best_case,10000,0.009709,4900
best_case,100000,0.128981,6304
best_case,1000000,1.445571,17056
best_case,10000000,15.937695,122732
best_case,100000000,175.610892,1178952
best_case,1000000000,1896.046236,11735476
random_case,10000,0.011189,4988
random_case,100000,0.129281,6300
random_case,1000000,1.439744,17252
random_case,10000000,16.839664,122728
random_case,100000000,176.771294,1178944
random_case,1000000000,1893.903764,11735608
worst_case,10000,0.010320,5004
worst_case,100000,0.127926,6304
worst_case,1000000,1.436525,17052
worst_case,10000000,19.273775,122652
worst_case,100000000,176.663168,1178748
worst_case,1000000000,1893.327153,11735480
