Number of elements,Dijkstra,Bellman-Ford,Density (%)
10,3.20e-05,3.26e-05,25
20,7.81e-05,7.93e-05,25
30,1.83e-04,1.87e-04,25
40,2.96e-04,2.88e-04,25
50,2.37e-04,2.97e-04,25
60,3.24e-04,4.15e-04,25
70,4.27e-04,5.63e-04,25
80,5.09e-04,7.94e-04,25
90,1.04e-03,1.37e-03,25
100,1.32e-03,1.72e-03,25
200,4.50e-03,8.22e-03,25
300,9.98e-03,1.89e-02,25
400,1.68e-02,4.15e-02,25
500,1.78e-02,4.77e-02,25
600,2.83e-02,6.42e-02,25
700,5.34e-02,1.32e-01,25
800,7.16e-02,2.03e-01,25
900,8.99e-02,2.64e-01,25
1000,1.07e-01,3.74e-01,25
10,2.60e-05,1.90e-05,50
20,5.69e-05,8.85e-05,50
30,1.19e-04,1.48e-04,50
40,1.77e-04,3.13e-04,50
50,2.56e-04,5.44e-04,50
60,3.57e-04,5.25e-04,50
70,4.84e-04,1.08e-03,50
80,6.05e-04,1.41e-03,50
90,1.22e-03,2.79e-03,50
100,1.50e-03,4.59e-03,50
200,5.65e-03,1.60e-02,50
300,1.25e-02,3.54e-02,50
400,2.18e-02,6.53e-02,50
500,3.77e-02,1.18e-01,50
600,5.24e-02,1.95e-01,50
700,6.31e-02,2.23e-01,50
800,8.24e-02,3.50e-01,50
900,1.06e-01,4.53e-01,50
1000,1.46e-01,6.01e-01,50
10,3.81e-05,4.43e-05,100
20,1.08e-04,1.97e-04,100
30,2.21e-04,5.24e-04,100
40,3.85e-04,9.47e-04,100
50,5.62e-04,1.67e-03,100
60,8.07e-04,2.45e-03,100
70,1.06e-03,3.36e-03,100
80,1.38e-03,4.44e-03,100
90,1.71e-03,4.57e-03,100
100,2.11e-03,6.73e-03,100
200,7.59e-03,2.91e-02,100
300,1.49e-02,7.33e-02,100
400,3.49e-02,1.68e-01,100
500,4.27e-02,2.35e-01,100
600,7.94e-02,3.55e-01,100
700,1.08e-01,5.75e-01,100
800,1.43e-01,6.38e-01,100
900,1.87e-01,8.56e-01,100
1000,2.40e-01,1.25e+00,100
