Number of elements,List,Binary Heap,Fibonacci Heap,Density (%)
10,3.15e-05,2.73e-05,9.73e-05,25
20,7.51e-05,6.63e-05,2.57e-04,25
30,1.51e-04,1.63e-04,4.79e-04,25
40,2.35e-04,2.80e-04,7.05e-04,25
50,3.46e-04,4.27e-04,8.64e-04,25
60,5.89e-04,6.81e-04,1.20e-03,25
70,6.36e-04,9.21e-04,1.41e-03,25
80,8.00e-04,1.27e-03,1.71e-03,25
90,1.00e-03,1.64e-03,1.98e-03,25
100,1.23e-03,2.25e-03,2.40e-03,25
200,4.58e-03,9.80e-03,6.20e-03,25
300,9.84e-03,2.33e-02,1.07e-02,25
400,1.67e-02,4.39e-02,1.56e-02,25
500,2.25e-02,6.58e-02,1.93e-02,25
600,3.76e-02,1.14e-01,2.98e-02,25
700,4.92e-02,1.46e-01,3.67e-02,25
800,6.35e-02,2.01e-01,4.40e-02,25
900,8.05e-02,2.54e-01,5.56e-02,25
1000,1.04e-01,3.27e-01,6.75e-02,25
10,3.12e-05,2.67e-05,1.11e-04,50
20,8.49e-05,8.57e-05,2.85e-04,50
30,1.72e-04,2.06e-04,4.87e-04,50
40,2.76e-04,3.77e-04,7.35e-04,50
50,4.23e-04,6.24e-04,1.07e-03,50
60,5.83e-04,9.14e-04,1.33e-03,50
70,7.84e-04,1.28e-03,1.66e-03,50
80,1.02e-03,1.67e-03,1.94e-03,50
90,1.23e-03,2.27e-03,2.33e-03,50
100,1.51e-03,2.78e-03,2.76e-03,50
200,5.12e-03,1.20e-02,6.93e-03,50
300,1.31e-02,3.21e-02,1.44e-02,50
400,2.34e-02,5.93e-02,2.36e-02,50
500,3.53e-02,8.82e-02,3.09e-02,50
600,4.99e-02,1.35e-01,4.36e-02,50
700,6.55e-02,1.79e-01,5.44e-02,50
800,8.62e-02,2.37e-01,6.86e-02,50
900,1.09e-01,3.12e-01,8.27e-02,50
1000,1.46e-01,4.17e-01,1.11e-01,50
10,3.58e-05,3.29e-05,1.25e-04,100
20,1.10e-04,1.18e-04,3.32e-04,100
30,2.27e-04,2.83e-04,5.63e-04,100
40,3.79e-04,5.34e-04,8.83e-04,100
50,5.77e-04,8.35e-04,1.20e-03,100
60,7.95e-04,1.22e-03,1.58e-03,100
70,1.10e-03,1.60e-03,1.90e-03,100
80,1.42e-03,2.41e-03,2.56e-03,100
90,1.77e-03,2.87e-03,2.87e-03,100
100,2.13e-03,3.79e-03,3.44e-03,100
200,8.48e-03,1.65e-02,1.03e-02,100
300,1.98e-02,4.10e-02,2.13e-02,100
400,3.66e-02,7.93e-02,3.69e-02,100
500,5.34e-02,1.14e-01,5.06e-02,100
600,8.37e-02,1.86e-01,7.91e-02,100
700,1.05e-01,2.24e-01,8.80e-02,100
800,1.47e-01,3.14e-01,1.24e-01,100
900,1.80e-01,4.17e-01,1.63e-01,100
1000,2.36e-01,5.37e-01,2.08e-01,100
